time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,gate_1_opening,gate_1_outflow,canal_water_level,canal_inflow,canal_outflow,downstream_reservoir_water_level,downstream_reservoir_outflow,downstream_reservoir_volume,upstream_reservoir_inflow,downstream_reservoir_inflow
0,10.0,0.0,100000.0,0.5,0.0,5.0,25.0,25.0,4.0,0,40000.0,,
0,10.030190911176938,19.809088823063014,100301.90911176938,0.5,19.86880425967215,5.0,19.86880425967215,19.86880425967215,4.019868804259673,0,40198.688042596725,50.0,19.86880425967215
10,10.060322106917265,19.86880425967215,100603.22106917265,0.5,19.928223175959943,5.000594189162878,19.928223175959943,19.86880425967215,4.039737608519345,0,40397.37608519345,50.0,19.86880425967215
20,10.090395053773728,19.927053143537414,100903.95053773727,0.5,19.986184524682532,5.001767991812982,19.986184524682532,19.86880425967215,4.059606412779018,0,40596.064127790174,50.0,19.86880425967215
30,10.120411173974682,19.983879799045013,101204.11173974682,0.5,20.042732272224022,5.003507271938501,20.042732272224022,19.86880425967215,4.07947521703869,0,40794.7521703869,50.0,19.86880425967215
40,10.150371847183798,20.03932679088296,101503.71847183799,0.5,20.0979086440667,5.005798315782447,20.0979086440667,19.86880425967215,4.0993440212983625,0,40993.44021298362,50.0,19.86880425967215
50,10.180278412167745,20.093435016053828,101802.78412167745,0.5,20.151754215559453,5.0086278153413195,20.151754215559453,19.86880425967215,4.1192128255580345,0,41192.12825558035,50.0,19.86880425967215
60,10.210132168377923,20.14624378982191,102101.32168377923,0.5,20.204307996719727,5.011982852711795,20.204307996719727,19.86880425967215,4.139081629817707,0,41390.81629817707,50.0,19.86880425967215
70,10.239934377451846,20.197790926075992,102399.34377451846,0.5,20.255607511541072,5.015850885230484,20.255607511541072,19.86880425967215,4.15895043407738,0,41589.5043407738,50.0,19.86880425967215
80,10.2696862646393,20.24811281254459,102696.86264639301,0.5,20.305688872234892,5.020219731356112,20.305688872234892,19.86880425967215,4.178819238337052,0,41788.19238337052,50.0,19.86880425967215
90,10.29938902015804,20.29724448126062,102993.8902015804,0.5,20.354586848795908,5.025077557247349,20.354586848795908,19.86880425967215,4.198688042596725,0,41986.88042596725,50.0,19.86880425967215
100,10.329043800483404,20.34521967463687,103290.43800483404,0.5,20.402334934246266,5.0304128639930905,20.402334934246266,19.86880425967215,4.218556846856397,0,42185.56846856397,50.0,19.86880425967215
110,10.358651729575923,20.39207090748166,103586.51729575923,0.5,20.44896540588156,5.036214475455185,20.44896540588156,19.86880425967215,4.23842565111607,0,42384.2565111607,50.0,19.86880425967215
120,10.388213900050667,20.43782952525526,103882.13900050668,0.5,20.49450938281406,5.042471526686604,20.49450938281406,19.86880425967215,4.258294455375742,0,42582.94455375742,50.0,19.86880425967215
130,10.417731374291828,20.48252575884165,104177.31374291827,0.5,20.538996880082973,5.049173452890712,20.538996880082973,19.86880425967215,4.278163259635415,0,42781.632596354146,50.0,19.86880425967215
140,10.44720518551574,20.52618877608699,104472.05185515739,0.5,20.582456859578553,5.056309978889776,20.582456859578553,19.86880425967215,4.2980320638950875,0,42980.32063895087,50.0,19.86880425967215
150,10.476636338785404,20.568846730334826,104766.36338785404,0.5,20.624917278006446,5.063871109073119,20.624917278006446,19.86880425967215,4.3179008681547595,0,43179.008681547595,50.0,19.86880425967215
160,10.506025811979235,20.610526806169226,105060.25811979234,0.5,20.666405132099584,5.071847117797393,20.666405132099584,19.86880425967215,4.337769672414432,0,43377.69672414432,50.0,19.86880425967215
170,10.535374556716674,20.651255262559488,105353.74556716674,0.5,20.706946501268245,5.080228540213354,20.706946501268245,19.86880425967215,4.357638476674104,0,43576.384766741045,50.0,19.86880425967215
180,10.56468349924309,20.691057473584586,105646.8349924309,0.5,20.74656658786349,5.0890061634952675,20.74656658786349,19.86880425967215,4.377507280933777,0,43775.07280933777,50.0,19.86880425967215
190,10.59395354127619,20.729957966901168,105939.53541276189,0.5,20.785289755215025,5.098171018450696,20.785289755215025,19.86880425967215,4.397376085193449,0,43973.760851934494,50.0,19.86880425967215
200,10.623185560816083,20.767980460106003,106231.85560816083,0.5,20.823139563592125,5.107714371489895,20.823139563592125,19.86880425967215,4.417244889453122,0,44172.44889453122,50.0,19.86880425967215
210,10.65238041292095,20.805147895132087,106523.8041292095,0.5,20.860138804224412,5.117627716935418,20.860138804224412,19.86880425967215,4.437113693712794,0,44371.13693712794,50.0,19.86880425967215
220,10.681538930450143,20.84148247080674,106815.38930450143,0.5,20.896309531509043,5.1279027696537876,20.896309531509043,19.86880425967215,4.456982497972467,0,44569.82497972467,50.0,19.86880425967215
230,10.710661924776453,20.877005673690327,107106.61924776452,0.5,20.9316730935209,5.138531457992275,20.9316730935209,19.86880425967215,4.47685130223214,0,44768.51302232139,50.0,19.86880425967215
240,10.739750186469147,20.911738307305356,107397.50186469147,0.5,20.966250160934,5.149505917004893,20.966250160934,19.86880425967215,4.496720106491812,0,44967.20106491812,50.0,19.86880425967215
250,10.768804485949289,20.945700519857404,107688.04485949289,0.5,21.00006075445393,5.1608184819527105,21.00006075445393,19.86880425967215,4.5165889107514845,0,45165.88910751484,50.0,19.86880425967215
260,10.797825574118747,20.978911830541914,107978.25574118747,0.5,21.03312427085407,5.1724616820645295,21.03312427085407,19.86880425967215,4.5364577150111565,0,45364.57715011157,50.0,19.86880425967215
270,10.826814182964224,21.011391154524134,108268.14182964223,0.5,21.065459507701416,5.184428234544822,21.065459507701416,19.86880425967215,4.556326519270829,0,45563.26519270829,50.0,19.86880425967215
280,10.85577102613755,21.043156826673005,108557.7102613755,0.5,21.097084686851815,5.196711038816619,21.097084686851815,19.86880425967215,4.576195323530501,0,45761.953235305016,50.0,19.86880425967215
290,10.884696799513426,21.074226624124233,108846.96799513426,0.5,21.12801747678862,5.209303170987783,21.12801747678862,19.86880425967215,4.596064127790174,0,45960.64127790174,50.0,19.86880425967215
300,10.913592181725683,21.104617787742388,109135.92181725684,0.5,21.15827501387366,5.222197878529799,21.15827501387366,19.86880425967215,4.615932932049846,0,46159.329320498466,50.0,19.86880425967215
310,10.942457834683136,21.13434704254695,109424.57834683136,0.5,21.187873922574532,5.235388575158822,21.187873922574532,19.86880425967215,4.635801736309519,0,46358.01736309519,50.0,19.86880425967215
320,10.971294404065972,21.163430617162902,109712.94404065973,0.5,21.216830334727973,5.248274646746503,21.216830334727973,19.928223175959943,4.655729959485479,0,46557.29959485479,50.0,19.928223175959943
330,11.000101419600485,21.192984465488383,110001.01419600485,0.5,21.246255320257745,5.260875354702255,21.246255320257745,19.986184524682532,4.675716144010162,0,46757.16144010161,50.0,19.986184524682532
